username,review,rating,tahun,aplikasi
Agus Pujianto,"semakin di update semakin jelek,sering eror,transfer nyangkut,lemot,dll inbox maks 5,semakin payah",1,2025,bca
Hesti Yuniza,"APLIKASI BANK TERBURUK YG PERNAH GUE PUNYA, MAU TF AJA SUSAH BANGET. BIKIN RIBET DISAAT BUTUH",1,2025,bca
muhammad sachri,update malah eror sering ngelag,1,2025,bca
Ongki Sandewa,parah nih aplikasi gajelas mau cek saldo gabisa muterrr terus mau tf ga bisa muterrr mau qrisss gabisa gaguna nih aplikasi mending pindah ke bank laenn dari pada ntar lu pda nyesel,1,2025,bca
VyonkSSA 507,top up ke dana saldo udah dipotong tapi uang ga masuk gimana si BCA lambat bgt proses nya.. malah ngga bisa mutasi.. TPI saldo udah kepotong BCA tolong uang ngga masuk malah dipotong makin ngga aman nabung di BCA,1,2025,bca
Fajar Chairil Huda,"akhir-akhir ini m-banking gangguan mulu, mau transaksi susah banget 🥹🥲 tolong dong diperbaiki‼️",1,2025,bca
Muhammad Iqbal,Semenjak terakhir update kemarin per tanggal 19 november makin ga jelas. Namanya update harusnya peningkatan bukan penurunan performa,1,2025,bca
Aji Tronyok,ini kenapa dah gabsa buat transaksi makin ksni makin aneh aja,1,2025,bca
Isna Wati,pokonya sebel lagi topup gagal Mulu padahal lagi urgent,1,2025,bca
Dara Arfina,ERROR DAN KLIRING TERUS!!,1,2025,bca
Fahry Septian,"kacau performance sekarang, indikator lama hijau & sekarang mau transaksi gangguan terus",1,2025,bca
Ky6u,"""""sementara aplikasi tidak dapat diproses"""" benerin ya min💔mau payment tapi gak bisa itu rasanya ganggu banget jinfg",1,2025,bca
Alif Rismawan,lemot sekarang. loading Mulu. parah .tolong perbaiki.,1,2025,bca
Mohammad Malik Al Hadid,"kenape nihhh, mau TF susah banget, padahal sinyal aman aman ajaa!! tolong lahhh, jadi susah mau ngapa-ngapain!!",1,2025,bca
Muhammad Fikri Riyadhi,LEMOT PARAH,1,2025,bca
Utuh Sugih,"aplikasinya sangat parah masa udah hijau cek saldo dan byr qris sending lama banget, asli parah banget ini aplikasi",1,2025,bca
Samsul Arifin,kalau tengah malam pelayanan nya di tingkat kan biar bisa cepat akses nya .....,1,2025,bca
muhammad reggy alamsyah,gajelas mau transaksi aj merah mlu klo ga biru najis,1,2025,bca
arief riansyah,nih kenapa kok bca setelah di update jadi susah tranfer/QRIS padahal jaringan bagus,1,2025,bca
Erwin Alexander95,tidak bisa beeli pulsa bca dancokkkzzz,1,2025,bca
Iwa Kusumasumantri,transaksi semakin lama indikator ke hijau lama sekali padahal jaringan bagus,1,2025,bca
Iqbal Maulana,"inikator hijau, tetep aja lemot 😠",1,2025,bca
dzikry Agmal Fahrezal,kenapa sering ngebut mulu sekarang.,1,2025,bca
Far Fals,"Bca makin lama makin Tidak nyaman di gunakan, Kalau eror gak ada pemberitahuan sama sekali harus nunggu 1-2 hari bari bisa di operasikan",1,2025,bca
Teguh Wibowo15,kenapa harus trouble d tiap jam 00.00,1,2025,bca
Fadil Lah,Sering terjadi masalah saat ingin transaksi,1,2025,bca
Ahmad Fakhri,terlalu lambat aplikasi jalan dan sering lampu merah,1,2025,bca
Tu Juni,update bukanya makin bagus malah makin parah,1,2025,bca
Lan9n,tiba tiba aplikasi lemot pas mau bayar angsuran.,1,2025,bca
Reynaldi Syaikha,diupdate malah laggy banget gimana sih update lagi deh jadi ganggu lama transaksi,1,2025,bca
Achsan Ilham,lampu indikatornya ganggu banget,1,2025,bca
Rezha aditya,"BCA sekarang gembel, sering susah buat transaksi.. padahal sinyal bagus",1,2025,bca
Neko Chan,"tolong lah bca, gila kali ya mo transaksi qris aja lamaaaaaa!!!!!",2,2025,bca
florian frida,emang nya ga ada hari lain maintenance ya?? sampe harus mlm minggu bgt maintenance nya.. weekday emang ga bisa??,1,2025,bca
Roni Rachmat Ramadhan,"makin parah ini aplikasi , sering gangguan",1,2025,bca
Muh Risaldy,kok makin di update makin lage yah padahal jaringan aman² aja lampu indikatornya juga kok malah gini BCA,2,2025,bca
Choki Yhulia,sinyal makin kesini makin jelek,1,2025,bca
Damai nur Huda,lemot parah,1,2025,bca
